Assignment,Lit_eV,Status,Exp_eV,Shift_meV,Sigma_meV,Amplitude
FE,3.478,FOUND,3.477,-1.0,10.7,5620.2
DBE,3.471,FOUND,3.4706,-0.42,6.1,8840.1
ABE,3.466,FOUND,3.467,1.0,7.9,7211.9
Y1,3.45,FOUND,3.451,1.0,12.0,2350.6
Y2,3.41,WEAK / NOT FOUND,3.409,-1.0,2.0,0.0
FE-LO,3.387,WEAK / NOT FOUND,3.386,-1.0,2.0,0.0
DBE-LO,3.38,WEAK / NOT FOUND,3.379,-1.0,2.0,0.0
Y3,3.37,WEAK / NOT FOUND,3.371,1.0,2.0,0.0
ABE–LO,3.375,WEAK / NOT FOUND,3.376,1.0,2.0,0.0
Y4,3.35,NOT FITTED,,,,
Y5,3.34,NOT FITTED,,,,
Y6,3.3,FOUND,3.299,-1.0,12.0,284.9
FE-2LO,3.295,FOUND,3.294,-1.0,12.0,343.0
DBE-2LO,3.288,FOUND,3.287,-1.0,12.0,397.0
ABE-2LO,3.283,FOUND,3.273,-10.0,12.0,392.3
ABE-2LO,3.272,FOUND,3.273,1.0,12.0,392.3
Y7,3.21,NOT FITTED,,,,
Y8,3.08,NOT FITTED,,,,
